n,p,cens_rate,hetero,model_type,method,alpha,coverage,coverage_uncensored,coverage_censored,q_value,num_uncensored,num_censored
2000,50,0.1,False,rsf,Weighted CSA (论文标准方法-已修复),0.1,0.9475,0.95,0.925,1.192650102009166,360,40
2000,50,0.1,True,km,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,2.9270276739517267,356,44
2000,50,0.1,True,cox,Weighted CSA (论文标准方法-已修复),0.1,0.91,0.901685393258427,0.9772727272727273,1.4241737325868074,356,44
2000,50,0.1,True,weibull,Weighted CSA (论文标准方法-已修复),0.1,0.9925,0.9915730337078652,1.0,1.44483159228976,356,44
2000,50,0.1,True,rsf,Weighted CSA (论文标准方法-已修复),0.1,0.9225,0.9185393258426966,0.9545454545454546,1.351569976889975,356,44
2000,1,0.3,False,km,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,3.3370980026886894,282,118
2000,1,0.3,False,cox,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,3.1399742030268207,282,118
2000,1,0.3,False,weibull,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,3.1418826643600424,282,118
2000,1,0.3,False,rsf,Weighted CSA (论文标准方法-已修复),0.1,0.9375,0.9397163120567376,0.9322033898305084,5.132061371697475,282,118
2000,1,0.3,True,km,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,3.3343881626910044,281,119
2000,1,0.3,True,cox,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,2.8969427094482056,281,119
2000,1,0.3,True,weibull,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,2.9453940257082563,281,119
2000,1,0.3,True,rsf,Weighted CSA (论文标准方法-已修复),0.1,0.95,0.9501779359430605,0.9495798319327731,5.060483316570803,281,119
2000,50,0.3,False,km,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,5.31258791131867,282,118
2000,50,0.3,False,cox,Weighted CSA (论文标准方法-已修复),0.1,0.885,0.9078014184397163,0.8305084745762712,1.6378796470395602,282,118
2000,50,0.3,False,weibull,Weighted CSA (论文标准方法-已修复),0.1,0.9075,0.9432624113475178,0.8220338983050848,1.233766662034268,282,118
