n,p,cens_rate,hetero,model_type,method,alpha,coverage,coverage_uncensored,coverage_censored,q_value,c0_chosen,p_c0_marginal,num_uncensored,num_censored
2000,1,0.3,False,rsf,Traditional CSA,0.1,0.875,0.8581560283687943,0.9152542372881356,2.449085070413549,28.410791372070193,0.3466666666666667,282,118
2000,1,0.3,True,km,Traditional CSA,0.1,0.9075,0.8701754385964913,1.0,7.825626094565354,29.416115978482246,0.30416666666666664,285,115
2000,1,0.3,True,cox,Traditional CSA,0.1,0.9025,0.8736842105263158,0.9739130434782609,1.6471006424912318,29.416115978482246,0.30416666666666664,285,115
2000,1,0.3,True,weibull,Traditional CSA,0.1,0.905,0.8736842105263158,0.9826086956521739,1.592968472614981,29.416115978482246,0.30416666666666664,285,115
2000,1,0.3,True,rsf,Traditional CSA,0.1,0.935,0.9192982456140351,0.9739130434782609,2.7055941817835607,29.416115978482246,0.30416666666666664,285,115
2000,50,0.3,False,km,Traditional CSA,0.1,0.895,0.8581560283687943,0.9830508474576272,2.3947469083709256,5.555192599101671,0.8108333333333333,282,118
2000,50,0.3,False,cox,Traditional CSA,0.1,0.9075,0.8723404255319149,0.9915254237288136,1.7444887881238633,30.22135786825886,0.31416666666666665,282,118
2000,50,0.3,False,weibull,Traditional CSA,0.1,0.905,0.8794326241134752,0.9661016949152542,1.8028567970860405,30.22135786825886,0.31416666666666665,282,118
2000,50,0.3,False,rsf,Traditional CSA,0.1,0.9175,0.8865248226950354,0.9915254237288136,2.9305538147463297,30.22135786825886,0.31416666666666665,282,118
2000,50,0.3,True,km,Traditional CSA,0.1,0.9125,0.8856088560885609,0.9689922480620154,7.608433581872598,26.961957432898952,0.30833333333333335,271,129
2000,50,0.3,True,cox,Traditional CSA,0.1,0.8675,0.8376383763837638,0.9302325581395349,1.7435047734249713,26.961957432898952,0.30833333333333335,271,129
2000,50,0.3,True,weibull,Traditional CSA,0.1,0.91,0.8892988929889298,0.9534883720930233,2.2544014313387812,26.961957432898952,0.30833333333333335,271,129
2000,50,0.3,True,rsf,Traditional CSA,0.1,0.8975,0.8856088560885609,0.9224806201550387,3.3543673560328626,26.961957432898952,0.30833333333333335,271,129
2000,1,0.5,False,km,Traditional CSA,0.1,0.9075,0.8108108108108109,0.9906976744186047,4.982755022404928,10.063614612622747,0.39166666666666666,185,215
2000,1,0.5,False,cox,Traditional CSA,0.1,0.895,0.8162162162162162,0.9627906976744186,1.586457687852648,11.297497706565053,0.3433333333333333,185,215
2000,1,0.5,False,weibull,Traditional CSA,0.1,0.895,0.8162162162162162,0.9627906976744186,1.414489366278211,11.297497706565053,0.3433333333333333,185,215
2000,1,0.5,False,rsf,Traditional CSA,0.1,0.875,0.7891891891891892,0.9488372093023256,1.9681782560889056,11.297497706565053,0.3433333333333333,185,215
2000,1,0.5,True,km,Traditional CSA,0.1,0.8625,0.7733990147783252,0.9543147208121827,0.879441969075601,3.3437802210988794,0.7575,203,197
2000,1,0.5,True,cox,Traditional CSA,0.1,0.85,0.7241379310344828,0.9796954314720813,1.4146510938939882,11.845889596251554,0.3475,203,197
2000,1,0.5,True,weibull,Traditional CSA,0.1,0.8525,0.7339901477832512,0.9746192893401016,1.2897093778849438,11.845889596251554,0.3475,203,197
2000,1,0.5,True,rsf,Traditional CSA,0.1,0.8425,0.7536945812807881,0.934010152284264,1.7641977457580782,11.845889596251554,0.3475,203,197
2000,50,0.5,False,km,Traditional CSA,0.1,0.9225,0.855072463768116,0.9948186528497409,5.942985315741114,13.143866552723475,0.3475,207,193
2000,50,0.5,False,cox,Traditional CSA,0.1,0.9125,0.8695652173913043,0.9585492227979274,1.6928348022718307,13.143866552723475,0.3475,207,193
2000,50,0.5,False,weibull,Traditional CSA,0.1,0.9175,0.8840579710144928,0.9533678756476683,1.6321853822903858,13.143866552723475,0.3475,207,193
2000,50,0.5,False,rsf,Traditional CSA,0.1,0.93,0.8888888888888888,0.9740932642487047,2.540655840922593,13.143866552723475,0.3475,207,193
2000,50,0.5,True,km,Traditional CSA,0.1,0.9225,0.841025641025641,1.0,6.245092512159373,13.62237237511173,0.3075,195,205
2000,50,0.5,True,cox,Traditional CSA,0.1,0.9,0.8307692307692308,0.9658536585365853,2.1051600397106105,13.62237237511173,0.3075,195,205
2000,50,0.5,True,weibull,Traditional CSA,0.1,0.9025,0.8461538461538461,0.9560975609756097,2.0647391334425724,13.62237237511173,0.3075,195,205
2000,50,0.5,True,rsf,Traditional CSA,0.1,0.9175,0.8564102564102564,0.975609756097561,2.870584160203472,13.62237237511173,0.3075,195,205
