n,p,cens_rate,hetero,model_type,c0_threshold,mean_weight,std_weight,min_weight,max_weight,mean_censor_prob,std_censor_prob
100,50,0.5,False,weibull,1.0136788201714342,2.3030616071851675,1.9308192705449312,0.5434782608695652,5.0,0.48600000000000004,0.3599499965272955
100,50,0.5,False,rsf,1.0136788201714342,2.3030616071851675,1.9308192705449312,0.5434782608695652,5.0,0.48600000000000004,0.3599499965272955
100,50,0.5,True,km,1.3561170091296222,2.2816502540145054,1.9013061963903142,0.5434782608695652,5.0,0.487,0.3628925460794145
100,50,0.5,True,cox,1.3561170091296222,2.2816502540145054,1.9013061963903142,0.5434782608695652,5.0,0.487,0.3628925460794145
100,50,0.5,True,weibull,1.3561170091296222,2.2816502540145054,1.9013061963903142,0.5434782608695652,5.0,0.487,0.3628925460794145
100,50,0.5,True,rsf,1.3561170091296222,2.2816502540145054,1.9013061963903142,0.5434782608695652,5.0,0.487,0.3628925460794145
500,1,0.1,False,km,2.1364402219127943,1.1300713696310094,0.3775833421194979,0.6106755669326347,2.5068294047455537,0.48763502608490583,0.14340827512030574
500,1,0.1,False,cox,2.1364402219127943,1.1300713696310094,0.3775833421194979,0.6106755669326347,2.5068294047455537,0.48763502608490583,0.14340827512030574
500,1,0.1,False,weibull,2.1364402219127943,1.1300713696310094,0.3775833421194979,0.6106755669326347,2.5068294047455537,0.48763502608490583,0.14340827512030574
500,1,0.1,False,rsf,2.1364402219127943,1.1300713696310094,0.3775833421194979,0.6106755669326347,2.5068294047455537,0.48763502608490583,0.14340827512030574
500,1,0.1,True,km,2.3203658042644015,1.272333284298792,0.8269010726806392,0.5580499267732798,4.338227526367226,0.5107919650669908,0.21779511883782257
500,1,0.1,True,cox,2.3203658042644015,1.272333284298792,0.8269010726806392,0.5580499267732798,4.338227526367226,0.5107919650669908,0.21779511883782257
500,1,0.1,True,weibull,2.3203658042644015,1.272333284298792,0.8269010726806392,0.5580499267732798,4.338227526367226,0.5107919650669908,0.21779511883782257
500,1,0.1,True,rsf,2.3203658042644015,1.272333284298792,0.8269010726806392,0.5580499267732798,4.338227526367226,0.5107919650669908,0.21779511883782257
500,50,0.1,False,km,2.0870384381529945,2.1915886834244582,1.7723263731396481,0.5416614884453667,5.0,0.4754034691132609,0.34131861823144094
500,50,0.1,False,cox,2.0870384381529945,2.1915886834244582,1.7723263731396481,0.5416614884453667,5.0,0.4754034691132609,0.34131861823144094
500,50,0.1,False,weibull,2.0870384381529945,2.1915886834244582,1.7723263731396481,0.5416614884453667,5.0,0.4754034691132609,0.34131861823144094
500,50,0.1,False,rsf,2.0870384381529945,2.1915886834244582,1.7723263731396481,0.5416614884453667,5.0,0.4754034691132609,0.34131861823144094
500,50,0.1,True,km,0.9546296299676441,2.1003479009324177,1.693267324220109,0.5174104623228687,5.0,0.4994414470154128,0.3547442002076847
500,50,0.1,True,cox,0.9546296299676441,2.1003479009324177,1.693267324220109,0.5174104623228687,5.0,0.4994414470154128,0.3547442002076847
500,50,0.1,True,weibull,0.9546296299676441,2.1003479009324177,1.693267324220109,0.5174104623228687,5.0,0.4994414470154128,0.3547442002076847
500,50,0.1,True,rsf,0.9546296299676441,2.1003479009324177,1.693267324220109,0.5174104623228687,5.0,0.4994414470154128,0.3547442002076847
500,1,0.3,False,km,2.336699324695158,1.3835367231353204,1.1476301479078324,0.5834664398561386,5.0,0.5046393544713729,0.21314000234841607
500,1,0.3,False,cox,2.336699324695158,1.3835367231353204,1.1476301479078324,0.5834664398561386,5.0,0.5046393544713729,0.21314000234841607
500,1,0.3,False,weibull,2.336699324695158,1.3835367231353204,1.1476301479078324,0.5834664398561386,5.0,0.5046393544713729,0.21314000234841607
500,1,0.3,False,rsf,2.336699324695158,1.3835367231353204,1.1476301479078324,0.5834664398561386,5.0,0.5046393544713729,0.21314000234841607
500,1,0.3,True,km,2.0041588385286055,1.1085685992240137,0.3990170469983692,0.5439172912447972,2.3813235133243804,0.5076238214021558,0.17081269601981852
500,1,0.3,True,cox,2.0041588385286055,1.1085685992240137,0.3990170469983692,0.5439172912447972,2.3813235133243804,0.5076238214021558,0.17081269601981852
500,1,0.3,True,weibull,2.0041588385286055,1.1085685992240137,0.3990170469983692,0.5439172912447972,2.3813235133243804,0.5076238214021558,0.17081269601981852
500,1,0.3,True,rsf,2.0041588385286055,1.1085685992240137,0.3990170469983692,0.5439172912447972,2.3813235133243804,0.5076238214021558,0.17081269601981852
500,50,0.3,False,km,1.2759804072409464,1.86277880417638,1.4663817853338577,0.5136094204501971,5.0,0.5010634415692116,0.32860649253852925
500,50,0.3,False,cox,1.2759804072409464,1.86277880417638,1.4663817853338577,0.5136094204501971,5.0,0.5010634415692116,0.32860649253852925
500,50,0.3,False,weibull,1.2759804072409464,1.86277880417638,1.4663817853338577,0.5136094204501971,5.0,0.5010634415692116,0.32860649253852925
