n,p,cens_rate,hetero,model_type,alpha,coverage,coverage_uncensored,coverage_censored,mean_width,width_cv,q_value
2000,50,0.3,False,weibull,0.1,0.9175,0.9148936170212766,0.923728813559322,3.3552420374561747,0.27715765373752105,2.2518656679115088
2000,50,0.3,False,rsf,0.1,0.925,0.9787234042553191,0.7966101694915254,3.4325863849207736,0.30280308121657296,2.2268294540672153
2000,50,0.3,True,km,0.1,0.875,0.8214285714285714,1.0,2.6475766377122016,0.0,1.8168457040854853
2000,50,0.3,True,cox,0.1,0.93,0.9678571428571429,0.8416666666666667,4.441687040988909,0.3031444916262084,2.952574298539441
2000,50,0.3,True,weibull,0.1,0.855,0.8428571428571429,0.8833333333333333,2.335375191103827,0.27702022273800625,1.5471018967622963
2000,50,0.3,True,rsf,0.1,0.8825,0.9464285714285714,0.7333333333333333,3.4425320444667578,0.2984069644201972,2.2970179801615562
2000,1,0.5,False,km,0.1,0.93,0.9615384615384616,0.8958333333333334,4.158596290649912,2.1357649495746539e-16,2.0792981453249566
2000,1,0.5,False,cox,0.1,0.9225,0.9326923076923077,0.9114583333333334,4.123392862240701,0.0064967380658671305,2.0669620612441455
2000,1,0.5,False,weibull,0.1,0.9275,0.9375,0.9166666666666666,4.166502428075086,0.004579650344609106,2.086886196157724
2000,1,0.5,False,rsf,0.1,0.8925,0.8942307692307693,0.890625,5.6637980280431375,0.1389320310902673,3.377825308964524
2000,1,0.5,True,km,0.1,0.855,0.9158415841584159,0.7929292929292929,3.959166582637264,3.3650203944253924e-16,1.9795832913186315
2000,1,0.5,True,cox,0.1,0.835,0.905940594059406,0.7626262626262627,3.9374452156253206,7.915143890155693e-17,1.9687226078126603
2000,1,0.5,True,weibull,0.1,0.83,0.905940594059406,0.7525252525252525,3.9297255600601617,1.393252379550517e-16,1.9648627800300806
2000,1,0.5,True,rsf,0.1,0.865,0.8811881188118812,0.8484848484848485,5.306161368509149,0.12804559407896135,3.0053877996803817
2000,50,0.5,False,km,0.1,0.8925,0.7868020304568528,0.9950738916256158,2.5790099771028054,1.7219367656302797e-16,1.2895049885514025
2000,50,0.5,False,cox,0.1,0.9275,0.9746192893401016,0.8817733990147784,6.516706474028242,0.2836392678869727,4.703670589139704
2000,50,0.5,False,weibull,0.1,0.925,0.9898477157360406,0.8620689655172413,4.5006092692752695,0.2880204789009179,3.0441302546179996
2000,50,0.5,False,rsf,0.1,0.92,1.0,0.8423645320197044,4.127536082729775,0.30200396178474076,2.772994378932066
2000,50,0.5,True,km,0.1,0.875,0.7586206896551724,0.9949238578680203,1.8915094146679114,3.521704991841374e-16,0.9457547073339553
2000,50,0.5,True,cox,0.1,0.92,0.9753694581280788,0.8629441624365483,5.834241423501613,0.3075465535105507,3.853974682147117
2000,50,0.5,True,weibull,0.1,0.9225,0.9852216748768473,0.8578680203045685,3.1642339340977723,0.2790122682484219,2.1071591358408863
2000,50,0.5,True,rsf,0.1,0.8975,0.9950738916256158,0.7969543147208121,4.34467697404418,0.28894478660978595,3.0189200268151444
